Nom_Pays;Nom_Indicateur;Nom_Culture;Année;Unité_Indicateur;Valeur;Flag;Description du Symbole;IDIndicateurs;IDCulture;IDAnnée;IDPays;IDFlag
Côte d'Ivoire;Rendement;Cacao, fèves;2017;kg/ha;510.7;E;Valeur estimée;50;50;50;50;50
Côte d'Ivoire;Production;Cacao, fèves;2017;tonnes;2034000;A;Chiffre officiel;51;51;51;51;51
Côte d'Ivoire;Superficie récoltée;Cacao, fèves;2018;ha;4072832;I;Valeur imputée;52;52;52;52;52
Côte d'Ivoire;Rendement;Cacao, fèves;2018;kg/ha;518.9;E;Valeur estimée;53;53;53;53;53
Côte d'Ivoire;Production;Cacao, fèves;2018;tonnes;2113189;A;Chiffre officiel;54;54;54;54;54
Côte d'Ivoire;Superficie récoltée;Cacao, fèves;2019;ha;4308544;I;Valeur imputée;55;55;55;55;55
Côte d'Ivoire;Rendement;Cacao, fèves;2019;kg/ha;518.7;E;Valeur estimée;56;56;56;56;56
Côte d'Ivoire;Production;Cacao, fèves;2019;tonnes;2235043;A;Chiffre officiel;57;57;57;57;57
Côte d'Ivoire;Superficie récoltée;Cacao, fèves;2020;ha;4309160;I;Valeur imputée;58;58;58;58;58
Côte d'Ivoire;Rendement;Cacao, fèves;2020;kg/ha;510.5;E;Valeur estimée;59;59;59;59;59
Côte d'Ivoire;Production;Cacao, fèves;2020;tonnes;2200000;A;Chiffre officiel;60;60;60;60;60
Côte d'Ivoire;Superficie récoltée;Cacao, fèves;2021;ha;4416359;I;Valeur imputée;61;61;61;61;61
Côte d'Ivoire;Rendement;Cacao, fèves;2021;kg/ha;504.6;E;Valeur estimée;62;62;62;62;62
Côte d'Ivoire;Production;Cacao, fèves;2021;tonnes;2228459;A;Chiffre officiel;63;63;63;63;63
Côte d'Ivoire;Superficie récoltée;Cacao, fèves;2022;ha;4716003;I;Valeur imputée;64;64;64;64;64
Côte d'Ivoire;Rendement;Cacao, fèves;2022;kg/ha;500.2;E;Valeur estimée;65;65;65;65;65
Côte d'Ivoire;Production;Cacao, fèves;2022;tonnes;2358991;A;Chiffre officiel;66;66;66;66;66
Ghana;Superficie récoltée;Cacao, fèves;2012;ha;1600300;A;Chiffre officiel;67;67;67;67;67
Ghana;Rendement;Cacao, fèves;2012;kg/ha;549.5;A;Chiffre officiel;68;68;68;68;68
Ghana;Production;Cacao, fèves;2012;tonnes;879348;A;Chiffre officiel;69;69;69;69;69
Ghana;Superficie récoltée;Cacao, fèves;2013;ha;1600300;A;Chiffre officiel;70;70;70;70;70
Ghana;Rendement;Cacao, fèves;2013;kg/ha;522.1;A;Chiffre officiel;71;71;71;71;71
Ghana;Production;Cacao, fèves;2013;tonnes;835466;A;Chiffre officiel;72;72;72;72;72
Ghana;Superficie récoltée;Cacao, fèves;2014;ha;1683765;A;Chiffre officiel;73;73;73;73;73
Ghana;Rendement;Cacao, fèves;2014;kg/ha;510;A;Chiffre officiel;74;74;74;74;74
Ghana;Production;Cacao, fèves;2014;tonnes;858720;A;Chiffre officiel;75;75;75;75;75
Ghana;Superficie récoltée;Cacao, fèves;2015;ha;1683765;A;Chiffre officiel;76;76;76;76;76
Ghana;Rendement;Cacao, fèves;2015;kg/ha;510;A;Chiffre officiel;77;77;77;77;77
Ghana;Production;Cacao, fèves;2015;tonnes;858720;A;Chiffre officiel;78;78;78;78;78
Ghana;Superficie récoltée;Cacao, fèves;2016;ha;1683765;X;Chiffre de sources internationales;79;79;79;79;79
Ghana;Rendement;Cacao, fèves;2016;kg/ha;510;X;Chiffre de sources internationales;80;80;80;80;80
Ghana;Production;Cacao, fèves;2016;tonnes;858720;X;Chiffre de sources internationales;81;81;81;81;81
